Model, Buckling, Stiffness 
sample1, 292.386, 298.6176875
sample2, 215.937, 383.1983125
sample3, 304.865, 192.21034375
sample4, 243.675, 105.102632813
sample5, 232.324, 273.16228125
sample6, 282.12, 230.863765625
sample7, 220.98, 65.7633125
sample8, 261.044, 72.2323046875
sample9, 282.792, 270.0168125
sample10, 163.995, 40.41684375
sample11, 172.036, 40.1901679688
sample12, 225.53, 214.90875
sample13, 229.946, 54.0782460938
sample14, 215.412, 307.2929375
sample15, 166.448, 535.5405625
sample16, 238.855, 472.29803125
sample17, 394.774, 219.048296875
sample18, 284.056, 203.4614375
sample19, 200.169, 207.135859375
sample20, 233.875, 53.6443164062
sample21, 324.534, 290.54609375
sample22, 292.741, 231.8520625
sample23, 276.172, 79.208984375
sample24, 330.105, 255.145765625
sample25, 291.415, 282.07534375
sample26, 262.878, 125.087585937
sample27, 243.084, 276.56859375
sample28, 329.668, 207.188875
sample29, 305.113, 296.52884375
sample30, 245.459, 47.0751875
sample31, 276.846, 285.5265625
sample32, 242.811, 114.575953125
sample33, 195.876, 357.20721875
sample34, 292.523, 296.540375
sample35, 211.311, 52.6845820313
sample36, 200.257, 170.1494375
sample37, 234.287, 167.66896875
sample38, 198.015, 47.4985195312
sample39, 204.562, 194.83590625
sample40, 199.169, 55.5368984375
sample41, 194.891, 439.76021875
sample42, 211.869, 287.55525
sample43, 296.947, 326.46415625
sample44, 243.23, 178.39965625
sample45, 298.731, 267.82175
sample46, 220.374, 66.6389921875
sample47, 317.919, 112.066148438
sample48, 282.954, 309.59821875
sample49, 248.787, 108.072578125
sample50, 217.997, 267.04496875
sample51, 265.978, 287.945125
sample52, 179.416, 531.411375
sample53, 239.402, 49.7438203125
sample54, 231.472, 44.03775
sample55, 235.872, 245.72915625
sample56, 258.75, 283.2834375
sample57, 233.902, 58.4427304687
sample58, 186.087, 61.4696484375
sample59, 304.561, 280.01028125
sample60, 283.789, 191.142828125
sample61, 267.708, 230.07615625
sample62, 247.185, 218.8735625
sample63, 258.969, 292.6255625
sample64, 237.757, 90.0118046875
sample65, 201.164, 97.4441875
sample66, 276.942, 191.456609375
sample67, 260.195, 70.5226875
sample68, 256.627, 187.86096875
sample69, 264.376, 160.87659375
sample70, 218.899, 289.2988125
sample71, 269.77, 231.72740625
sample72, 298.812, 251.26459375
sample73, 152.475, 40.3432929687
sample74, 170.427, 447.295875
sample75, 308.454, 261.228328125
sample76, 302.425, 286.87340625
sample77, 263.384, 173.555765625
sample78, 261.2, 65.8620390625
sample79, 272.432, 306.57503125
sample80, 255.284, 61.5814335937
sample81, 223.212, 286.83946875
sample82, 262.616, 164.975484375
sample83, 260.491, 246.099359375
sample84, 239.909, 40.6411132813
sample85, 247.887, 136.317859375
sample86, 277.035, 336.44565625
sample87, 315.95, 85.7593125
sample88, 344.754, 153.635625
sample89, 305.41, 91.734140625
sample90, 272.507, 269.4236875
sample91, 222.626, 101.244625
sample92, 208.481, 58.4133085938
sample93, 252.419, 93.7726328125
sample94, 261.693, 123.626726562
sample95, 248.233, 50.4145195313
sample96, 318.896, 93.4211484375
sample97, 214.032, 41.2526953125
sample98, 204.376, 402.18221875
sample99, 249.243, 269.5379375
sample100, 220.48, 104.8364375
sample101, 208.26, 278.1809375
sample102, 219.846, 44.7522109375
sample103, 257.771, 270.4476875
sample104, 269.581, 142.676609375
sample105, 216.109, 445.71334375
sample106, 246.943, 81.786578125
sample107, 261.945, 298.9821875
sample108, 231.277, 299.22809375
sample109, 210.329, 85.737734375
sample110, 272.996, 202.643921875
sample111, 276.637, 247.8406875
sample112, 253.612, 357.38265625
sample113, 255.647, 102.176296875
sample114, 191.339, 40.8984335937
sample115, 274.273, 61.29125
sample116, 191.028, 43.9639257812
sample117, 289.985, 60.8558320313
sample118, 361.294, 185.6598125
sample119, 240.646, 58.53796875
sample120, 292.137, 255.710015625
